Area,MajorAxisLength,MinorAxisLength,AspectRation,Roundness,Class
1073,67.03362772,41.92848667,1.048345605,0.870203116,0
2693,65.12478457,56.37402054,1.051000024,0.804743279,1
2253,105.2858232,77.52274318,1.358128195,0.884758939,0
5845,101.7792162,74.90550178,1.358768231,0.904131329,0
2550,99.52115599,72.98321165,1.363617108,0.898050159,0
5978,104.4410574,75.39679556,1.385225635,0.84120695,1
5603,102.5307289,73.76704047,1.389926019,0.827758305,1
6142,106.0765982,76.15546318,1.392890545,0.877039713,1
6508,121.5700852,69.78053106,1.742177701,0.827250582,1
7031,126.4730563,72.50867138,1.744254315,0.829033978,0
6474,121.4601124,69.51707434,1.747198275,0.791246759,0
7979,135.3708117,76.86496009,1.761151135,0.809779343,0
8326,138.0889453,78.39710015,1.761403708,0.826010206,1
8109,135.9961017,77.12387702,1.763304628,0.84637099,1
7056,127.5469752,72.32218861,1.763593963,0.810740113,1
7957,135.2393149,76.51376842,1.767516065,0.812962201,1
6532,122.8303487,69.43504678,1.768996414,0.805145787,1
7424,130.5193659,73.67726289,1.771501285,0.836762064,0
7155,128.8477204,72.69539467,1.772433054,0.810588851,0
6417,121.4528389,68.51204576,1.772722411,0.844221295,0
7542,131.5538372,74.12502279,1.774756111,0.844771048,1
7838,134.5819952,75.75839537,1.776463117,0.843099109,1
6466,122.7978751,69.07556447,1.777732489,0.814594651,0
8217,137.4010319,77.28407179,1.777869989,0.841007587,1
8208,137.5009743,77.11022255,1.783174393,0.839329335,1
7850,134.9587208,75.44214922,1.788903447,0.85020055,0
7438,131.7885765,73.57020879,1.791330739,0.850081508,1
7961,136.0340844,75.92816237,1.791615656,0.851619052,0
7292,130.0864901,72.25300944,1.800427943,0.823249622,0
5877,116.9441013,64.92007666,1.801354948,0.850462933,0
7150,129.5802972,71.89970472,1.802236848,0.830618048,0
7118,128.7269918,71.41750745,1.802457079,0.850703877,1
9165,147.2967095,81.69690376,1.802964882,0.773431823,0
7446,132.5792502,73.38652875,1.806588381,0.744632643,0
7028,128.4738275,71.07186502,1.807660844,0.822671731,1
7878,135.7379715,75.07900873,1.807901424,0.842170062,1
7712,135.1734823,74.75847327,1.808135939,0.780187713,0
8976,144.8890897,80.06895758,1.809553841,0.844997581,0
7394,131.7768793,72.78579705,1.810475184,0.84433458,0
6311,121.9421924,67.30002631,1.811918942,0.82921847,0
8486,140.6343816,77.56840536,1.813035778,0.787007547,1
7170,129.9900536,71.59643664,1.815600638,0.847041925,1
6861,127.3960428,70.15755348,1.815856404,0.842508388,0
6630,125.2815537,68.95982685,1.816732428,0.822074081,1
5814,117.0301935,64.39936786,1.817256868,0.834259254,0
8077,139.3512338,75.85750449,1.837013157,0.82163415,1
7297,131.8746277,71.63254169,1.840987694,0.822802646,0
